Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",142.748000,-86.360000,0.000000,top
"C2","100n","C_0805_2012Metric",152.400000,-92.710000,-90.000000,top
"C3","100n","C_0603_1608Metric",148.590000,-101.600000,180.000000,top
"C4","100n","C_0402_1005Metric",139.192000,-91.692000,90.000000,top
"C5","10u","C_0402_1005Metric",142.748000,-88.646000,0.000000,top
"C6","10n","C_0402_1005Metric",139.192000,-96.012000,90.000000,top
"C7","1u","C_0402_1005Metric",138.684000,-99.566000,0.000000,top
"C8","1u","C_0402_1005Metric",138.656000,-101.090000,0.000000,top
"C9","100n","C_0402_1005Metric",143.002000,-100.836000,0.000000,top
"C10","10p","C_0402_1005Metric",136.652000,-92.964000,90.000000,top
"C11","10p","C_0402_1005Metric",136.652000,-95.250000,90.000000,top
"C12","22u","C_0402_1005Metric",156.690000,-102.106000,0.000000,top
"C13","22u","C_0402_1005Metric",162.560000,-105.944000,-90.000000,top
"D1","RED","LED_0603_1608Metric",165.608000,-106.172000,-90.000000,top
"FB1","120R","L_0603_1608Metric",140.970000,-100.607500,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",169.754000,-93.978000,90.000000,top
"J2","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",165.090000,-78.511000,-90.000000,top
"J3","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",139.964000,-110.465000,90.000000,top
"J4","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",152.390000,-78.511000,-90.000000,top
"R1","10k","R_0402_1005Metric",137.414000,-86.614000,90.000000,top
"R2","1k5","R_0402_1005Metric",155.702000,-92.454000,-90.000000,top
"R3","1k5","R_0402_1005Metric",165.608000,-102.362000,90.000000,top
"R4","1k5","R_0402_1005Metric",143.256000,-104.648000,180.000000,top
"R5","1k5","R_0402_1005Metric",145.544000,-104.646000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",129.761000,-86.614000,-90.000000,top
"U1","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",145.288000,-94.994000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",157.988000,-107.694000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",134.112000,-93.980000,-90.000000,top
